,Unnamed: 0,경보단계,권역명,발령농도,발령시간,발령일,지역명,항목명
303,303,주의보,전주권역,81,22:00,2020-01-03,전북,PM25
298,298,주의보,중부권역,76,12:00,2020-01-03,충북,PM25
299,299,주의보,북부권역,85,11:00,2020-01-03,충남,PM25
302,302,주의보,남부권,82,11:00,2020-01-03,경기,PM25
301,301,주의보,익산권역,80,02:00,2020-01-03,전북,PM25
297,297,주의보,김제권역,76,12:00,2020-01-04,전북,PM25
296,296,주의보,정읍권역,75,21:00,2020-01-04,전북,PM25
300,300,주의보,장수권역,77,00:00,2020-01-04,전북,PM25
295,295,주의보,서부권역,81,12:00,2020-01-10,인천,PM25
294,294,주의보,북부권역,87,13:00,2020-01-11,충북,PM25
272,272,주의보,남원권역,95,21:00,2020-01-19,전북,PM25
273,273,주의보,중부권,88,14:00,2020-01-19,경기,PM25
274,274,주의보,서부권역,91,19:00,2020-01-19,전남,PM25
275,275,주의보,장수권역,81,18:00,2020-01-19,전북,PM25
276,276,주의보,순창권역,89,19:00,2020-01-19,전북,PM25
277,277,주의보,완주권역,91,18:00,2020-01-19,전북,PM25
278,278,주의보,부안권역,87,15:00,2020-01-19,전북,PM25
279,279,주의보,고창권역,91,18:00,2020-01-19,전북,PM25
280,280,주의보,북부권역,103,15:00,2020-01-19,충남,PM25
282,282,주의보,군산권역,101,16:00,2020-01-19,전북,PM25
281,281,주의보,정읍권역,91,17:00,2020-01-19,전북,PM25
291,291,주의보,김제권역,105,17:00,2020-01-19,전북,PM25
284,284,주의보,남부권,88,15:00,2020-01-19,경기,PM25
285,285,주의보,광주권역,87,19:00,2020-01-19,광주,PM25
286,286,주의보,서부권역,91,14:00,2020-01-19,충남,PM25
287,287,주의보,함양권역,81,20:00,2020-01-19,경남,PM25
288,288,주의보,전주권역,82,15:00,2020-01-19,전북,PM25
290,290,주의보,익산권역,98,16:00,2020-01-19,전북,PM25
283,283,주의보,임실권역,94,18:00,2020-01-19,전북,PM25
292,292,주의보,중부권역,78,17:00,2020-01-19,충북,PM25
293,293,주의보,진안권역,95,18:00,2020-01-19,전북,PM25
289,289,주의보,제주권역,89,00:00,2020-01-20,제주,PM25
271,271,주의보,임실권역,76,11:00,2020-01-24,전북,PM25
270,270,주의보,중부권역,82,12:00,2020-01-24,충북,PM25
269,269,주의보,전주권역,77,13:00,2020-01-24,전북,PM25
268,268,주의보,부안권역,104,11:00,2020-01-24,전북,PM25
262,262,주의보,김제권역,81,12:00,2020-01-25,전북,PM25
261,261,주의보,동남부권역,75,01:00,2020-01-25,충남,PM25
263,263,주의보,세종권역,78,02:00,2020-01-25,세종,PM25
265,265,주의보,익산권역,78,23:00,2020-01-25,전북,PM25
267,267,주의보,완주권역,76,16:00,2020-01-25,전북,PM25
266,266,주의보,북부권역,82,11:00,2020-01-25,충남,PM25
264,264,주의보,익산권역,82,09:00,2020-01-25,전북,PM25
244,244,주의보,진안권역,80,18:00,2020-02-01,전북,PM25
245,245,주의보,부안권역,92,19:00,2020-02-01,전북,PM25
246,246,주의보,대구권역,76,21:00,2020-02-01,대구,PM25
249,249,주의보,중부권역,81,22:00,2020-02-01,충북,PM25
250,250,주의보,동남부권역,85,20:00,2020-02-01,충남,PM25
251,251,주의보,김제권역,83,22:00,2020-02-01,전북,PM25
252,252,주의보,남부권,79,20:00,2020-02-01,경기,PM25
247,247,주의보,전주권역,86,21:00,2020-02-01,전북,PM25
254,254,주의보,거창권역,75,21:00,2020-02-01,경남,PM25
253,253,주의보,임실권역,80,21:00,2020-02-01,전북,PM25
260,260,주의보,중부권,78,19:00,2020-02-01,경기,PM25
259,259,주의보,익산권역,83,20:00,2020-02-01,전북,PM25
258,258,주의보,무주권역,78,18:00,2020-02-01,전북,PM25
248,248,주의보,북부권역,78,17:00,2020-02-01,충남,PM25
256,256,주의보,남원권역,78,23:00,2020-02-01,전북,PM25
255,255,주의보,남부권역,81,18:00,2020-02-01,충북,PM25
257,257,주의보,세종권역,83,23:00,2020-02-01,세종,PM25
235,235,주의보,하동권역,78,14:00,2020-02-02,경남,PM25
242,242,주의보,의령권역,78,12:00,2020-02-02,경남,PM25
241,241,주의보,서부권역,76,07:00,2020-02-02,부산,PM25
240,240,주의보,북부권역,77,01:00,2020-02-02,충북,PM25
239,239,주의보,동부권,81,12:00,2020-02-02,경기,PM25
