브랜드 결측값 브랜드 후보
146, YCH + FENDI
147, MOJOSPHINE + MOJOSPHINE
160, FAYEWOO + FAYEWOO
220, NAKES + NAKES
267, ([VW VERA WANG + VW VERA WANG] [JAIN SONG + JAIN SONG])
282, O'2ND + GUCCI
285, CHANEL + CHANEL
329, PLASTIC ISLAND + PLASTIC ISLAND
342, LOFT+ SONIA RYKIEL
368, EL ESTILO DE CLAIRE+ EL ESTILO DE CLAIRE
373, MOSCHINO CHEAP & CHIC+ MOSCHINO
443, SAINT JAMES+ IT MICHAA
505, EUNJOKOH+ EUNJOKOH 
525, VW VERA WANG+ VW VERA WANG
526, REJINA PYO+ REJINA PYO
544, MAISON MARGIELA+ MIU MIU
765, EL ESTILO DE CLAIRE+ EL ESTILO DE CLAIRE 
766, MIU MIU+ MIU MIU
879, OLIVE DES OLIVE+ OLIVE DES OLIVE
892, SANDRO+ SANDRO
931, BALMAIN+ TIME
946, FAYEWOO+ FAYEWOO
957, IT MICHAA+ IT MICHAA
993, 
1062, DUVETICA+ DUVETICA
1160, 
1210, ([MINE+MINE] [CHEE U+ CHEE U])
1385, MOJOSPHINE+ MOJOSPHINE
1405, PLASTIC ISLAND+ PLASTIC ISLAND
